注文ID,注文日,顧客ID,商品ID,商品名,カテゴリ,単価,数量,小計,割引率,割引額,売上金額,地域,支払方法
ORD00780,2024-08-20,C0849,P002,モニター,電子機器,35000,1,35000,5,1750,33250,広島,クレジットカード
ORD00781,2024-02-17,C0488,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,福岡,コンビニ払い
ORD00782,2024-02-09,C0413,P006,外付けHDD,記憶媒体,10000,3,30000,10,3000,27000,広島,代引き
ORD00783,2024-10-26,C0451,P008,スキャナー,周辺機器,20000,3,60000,5,3000,57000,京都,コンビニ払い
ORD00784,2024-03-24,C0497,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,京都,銀行振込
ORD00785,2024-12-26,C0712,P009,タブレット,電子機器,50000,3,150000,0,0,150000,福岡,コンビニ払い
ORD00786,2024-08-30,C0967,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,仙台,クレジットカード
ORD00787,2024-11-04,C0379,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,札幌,クレジットカード
ORD00788,2024-09-24,C0313,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,仙台,代引き
ORD00789,2024-05-30,C0146,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,広島,クレジットカード
ORD00790,2024-06-05,C0839,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,京都,クレジットカード
ORD00791,2024-03-03,C0892,P009,タブレット,電子機器,50000,3,150000,0,0,150000,東京,コンビニ払い
ORD00792,2024-09-03,C0464,P010,スマートフォン,電子機器,80000,3,240000,10,24000,216000,仙台,コンビニ払い
ORD00793,2024-08-31,C0517,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,京都,コンビニ払い
ORD00794,2024-12-07,C0092,P008,スキャナー,周辺機器,20000,1,20000,10,2000,18000,広島,コンビニ払い
ORD00795,2024-04-29,C0047,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,京都,代引き
ORD00796,2024-11-26,C0586,P002,モニター,電子機器,35000,1,35000,0,0,35000,札幌,クレジットカード
ORD00797,2024-11-25,C0979,P009,タブレット,電子機器,50000,1,50000,0,0,50000,東京,銀行振込
ORD00798,2024-08-31,C0675,P009,タブレット,電子機器,50000,1,50000,0,0,50000,名古屋,クレジットカード
ORD00799,2024-05-20,C0455,P004,マウス,周辺機器,3000,1,3000,10,300,2700,大阪,代引き
ORD00800,2024-07-24,C0883,P010,スマートフォン,電子機器,80000,1,80000,15,12000,68000,東京,代引き
ORD00801,2024-08-11,C0881,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,仙台,コンビニ払い
ORD00802,2024-05-11,C0555,P002,モニター,電子機器,35000,1,35000,0,0,35000,名古屋,代引き
ORD00803,2024-03-14,C0158,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,札幌,コンビニ払い
ORD00804,2024-12-13,C0985,P003,キーボード,周辺機器,8000,1,8000,20,1600,6400,仙台,銀行振込
ORD00805,2024-01-14,C0102,P001,ノートPC,電子機器,120000,2,240000,5,12000,228000,仙台,銀行振込
ORD00806,2024-07-30,C0965,P006,外付けHDD,記憶媒体,10000,2,20000,15,3000,17000,大阪,クレジットカード
ORD00807,2024-04-13,C0243,P004,マウス,周辺機器,3000,3,9000,10,900,8100,京都,コンビニ払い
ORD00808,2024-02-28,C0476,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,広島,クレジットカード
ORD00809,2024-09-04,C0936,P001,ノートPC,電子機器,120000,4,480000,0,0,480000,東京,代引き
ORD00810,2024-10-10,C0782,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,名古屋,代引き
ORD00811,2024-10-17,C0867,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,福岡,銀行振込
ORD00812,2024-07-10,C0551,P009,タブレット,電子機器,50000,1,50000,5,2500,47500,広島,コンビニ払い
ORD00813,2024-01-22,C0297,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,名古屋,クレジットカード
ORD00814,2024-01-31,C0257,P008,スキャナー,周辺機器,20000,2,40000,10,4000,36000,広島,代引き
ORD00815,2024-11-19,C0289,P004,マウス,周辺機器,3000,3,9000,10,900,8100,東京,銀行振込
ORD00816,2024-09-30,C0092,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,広島,クレジットカード
ORD00817,2024-03-12,C0216,P009,タブレット,電子機器,50000,3,150000,5,7500,142500,仙台,代引き
ORD00818,2024-11-21,C0280,P005,USBメモリ,記憶媒体,2000,3,6000,5,300,5700,福岡,代引き
ORD00819,2024-06-23,C0337,P004,マウス,周辺機器,3000,2,6000,10,600,5400,東京,銀行振込
ORD00820,2024-11-26,C0005,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,東京,銀行振込
ORD00821,2024-07-30,C0781,P009,タブレット,電子機器,50000,3,150000,15,22500,127500,広島,クレジットカード
ORD00822,2024-11-28,C0914,P002,モニター,電子機器,35000,3,105000,0,0,105000,京都,クレジットカード
ORD00823,2024-06-29,C0397,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,名古屋,クレジットカード
ORD00824,2024-03-04,C0456,P008,スキャナー,周辺機器,20000,2,40000,0,0,40000,東京,銀行振込
ORD00825,2024-01-11,C0197,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,大阪,代引き
ORD00826,2024-04-23,C0038,P004,マウス,周辺機器,3000,2,6000,0,0,6000,札幌,コンビニ払い
ORD00827,2024-12-26,C0201,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,広島,クレジットカード
ORD00828,2024-05-22,C0175,P010,スマートフォン,電子機器,80000,3,240000,5,12000,228000,福岡,銀行振込
ORD00829,2024-02-03,C0131,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,札幌,銀行振込
ORD00830,2024-09-24,C0994,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,札幌,コンビニ払い
ORD00831,2024-01-02,C0875,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,仙台,コンビニ払い
ORD00832,2024-07-27,C0478,P005,USBメモリ,記憶媒体,2000,1,2000,20,400,1600,京都,代引き
ORD00833,2024-09-21,C0285,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,広島,コンビニ払い
ORD00834,2024-06-10,C0343,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,大阪,クレジットカード
ORD00835,2024-04-25,C0202,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,名古屋,代引き
ORD00836,2024-06-08,C0029,P002,モニター,電子機器,35000,3,105000,0,0,105000,京都,コンビニ払い
ORD00837,2024-01-13,C0861,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,札幌,銀行振込
ORD00838,2024-02-25,C0853,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,東京,代引き
ORD00839,2024-09-23,C0635,P004,マウス,周辺機器,3000,1,3000,10,300,2700,京都,クレジットカード
ORD00840,2024-11-16,C0088,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,東京,クレジットカード
ORD00841,2024-07-12,C0802,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,名古屋,クレジットカード
ORD00842,2024-08-14,C0642,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,広島,クレジットカード
ORD00843,2024-02-22,C0302,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,広島,コンビニ払い
ORD00844,2024-02-19,C0886,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,東京,コンビニ払い
ORD00845,2024-07-15,C0635,P008,スキャナー,周辺機器,20000,2,40000,20,8000,32000,大阪,代引き
ORD00846,2024-11-29,C0337,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,福岡,クレジットカード
ORD00847,2024-02-22,C0608,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,福岡,銀行振込
ORD00848,2024-11-22,C0432,P009,タブレット,電子機器,50000,2,100000,0,0,100000,京都,コンビニ払い
ORD00849,2024-04-05,C0062,P004,マウス,周辺機器,3000,1,3000,0,0,3000,名古屋,代引き
ORD00850,2024-10-26,C0319,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,名古屋,銀行振込
ORD00851,2024-08-28,C0299,P005,USBメモリ,記憶媒体,2000,3,6000,0,0,6000,仙台,クレジットカード
ORD00852,2024-09-22,C0244,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,東京,コンビニ払い
ORD00853,2024-06-25,C0805,P004,マウス,周辺機器,3000,1,3000,0,0,3000,大阪,代引き
ORD00854,2024-04-06,C0615,P008,スキャナー,周辺機器,20000,3,60000,5,3000,57000,仙台,代引き
ORD00855,2024-11-11,C0167,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,大阪,コンビニ払い
ORD00856,2024-01-22,C0655,P008,スキャナー,周辺機器,20000,1,20000,0,0,20000,福岡,銀行振込
ORD00857,2024-08-26,C0493,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,仙台,コンビニ払い
ORD00858,2024-04-15,C0372,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,東京,クレジットカード
ORD00859,2024-07-02,C0146,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,札幌,コンビニ払い
ORD00860,2024-04-09,C0999,P010,スマートフォン,電子機器,80000,3,240000,0,0,240000,東京,銀行振込
ORD00861,2024-04-11,C0907,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,札幌,銀行振込
ORD00862,2024-06-22,C0201,P009,タブレット,電子機器,50000,1,50000,0,0,50000,東京,銀行振込
ORD00863,2024-05-14,C0389,P002,モニター,電子機器,35000,1,35000,0,0,35000,大阪,代引き
ORD00864,2024-04-17,C0379,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,仙台,銀行振込
ORD00865,2024-09-26,C0122,P010,スマートフォン,電子機器,80000,4,320000,0,0,320000,名古屋,銀行振込
ORD00866,2024-04-07,C0712,P004,マウス,周辺機器,3000,3,9000,5,450,8550,仙台,代引き
ORD00867,2024-11-02,C0944,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,東京,銀行振込
ORD00868,2024-10-01,C0254,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,東京,代引き
ORD00869,2024-03-05,C0215,P009,タブレット,電子機器,50000,5,250000,5,12500,237500,大阪,コンビニ払い
ORD00870,2024-12-05,C0521,P010,スマートフォン,電子機器,80000,1,80000,5,4000,76000,広島,代引き
ORD00871,2024-09-12,C0330,P009,タブレット,電子機器,50000,4,200000,0,0,200000,仙台,コンビニ払い
ORD00872,2024-09-10,C0411,P008,スキャナー,周辺機器,20000,2,40000,10,4000,36000,東京,銀行振込
ORD00873,2024-04-22,C0406,P004,マウス,周辺機器,3000,2,6000,0,0,6000,福岡,代引き
ORD00874,2024-08-05,C0958,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,仙台,代引き
ORD00875,2024-10-08,C0303,P002,モニター,電子機器,35000,2,70000,0,0,70000,京都,代引き
ORD00876,2024-04-27,C0525,P010,スマートフォン,電子機器,80000,1,80000,5,4000,76000,仙台,コンビニ払い
ORD00877,2024-08-18,C0377,P008,スキャナー,周辺機器,20000,2,40000,5,2000,38000,京都,代引き
ORD00878,2024-05-19,C0453,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,福岡,代引き
ORD00879,2024-11-26,C0302,P002,モニター,電子機器,35000,2,70000,0,0,70000,大阪,代引き
ORD00880,2024-04-26,C0369,P002,モニター,電子機器,35000,1,35000,0,0,35000,東京,銀行振込
ORD00881,2024-06-19,C0257,P004,マウス,周辺機器,3000,3,9000,0,0,9000,札幌,代引き
ORD00882,2024-04-07,C0935,P010,スマートフォン,電子機器,80000,2,160000,10,16000,144000,札幌,クレジットカード
ORD00883,2024-06-02,C0969,P005,USBメモリ,記憶媒体,2000,2,4000,5,200,3800,広島,クレジットカード
ORD00884,2024-08-29,C0234,P009,タブレット,電子機器,50000,1,50000,5,2500,47500,福岡,銀行振込
ORD00885,2024-08-30,C0805,P004,マウス,周辺機器,3000,3,9000,10,900,8100,京都,コンビニ払い
ORD00886,2024-06-23,C0440,P002,モニター,電子機器,35000,2,70000,0,0,70000,広島,銀行振込
ORD00887,2024-08-12,C0384,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,名古屋,銀行振込
ORD00888,2024-06-05,C0348,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,福岡,コンビニ払い
ORD00889,2024-08-05,C0307,P007,プリンター,周辺機器,25000,3,75000,10,7500,67500,仙台,クレジットカード
ORD00890,2024-10-17,C0976,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,仙台,コンビニ払い
ORD00891,2024-07-14,C0548,P004,マウス,周辺機器,3000,2,6000,0,0,6000,広島,銀行振込
ORD00892,2024-08-31,C0986,P002,モニター,電子機器,35000,2,70000,10,7000,63000,京都,代引き
ORD00893,2024-02-17,C0182,P003,キーボード,周辺機器,8000,1,8000,10,800,7200,東京,コンビニ払い
ORD00894,2024-01-14,C0934,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,広島,代引き
ORD00895,2024-04-15,C0072,P004,マウス,周辺機器,3000,2,6000,10,600,5400,京都,クレジットカード
ORD00896,2024-07-07,C0335,P009,タブレット,電子機器,50000,1,50000,5,2500,47500,広島,コンビニ払い
ORD00897,2024-03-21,C0429,P002,モニター,電子機器,35000,2,70000,10,7000,63000,京都,クレジットカード
ORD00898,2024-07-18,C0318,P004,マウス,周辺機器,3000,1,3000,5,150,2850,広島,コンビニ払い
ORD00899,2024-03-22,C0602,P010,スマートフォン,電子機器,80000,5,400000,0,0,400000,福岡,コンビニ払い
ORD00900,2024-05-21,C0457,P004,マウス,周辺機器,3000,1,3000,0,0,3000,大阪,コンビニ払い
ORD00901,2024-11-05,C0933,P004,マウス,周辺機器,3000,3,9000,0,0,9000,京都,コンビニ払い
ORD00902,2024-08-24,C0295,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,京都,代引き
ORD00903,2024-12-24,C0844,P005,USBメモリ,記憶媒体,2000,2,4000,20,800,3200,名古屋,コンビニ払い
ORD00904,2024-05-07,C0469,P003,キーボード,周辺機器,8000,3,24000,5,1200,22800,広島,銀行振込
ORD00905,2024-12-23,C0716,P010,スマートフォン,電子機器,80000,1,80000,15,12000,68000,東京,銀行振込
ORD00906,2024-03-21,C0299,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,大阪,銀行振込
ORD00907,2024-09-09,C0378,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,大阪,クレジットカード
ORD00908,2024-09-15,C0169,P006,外付けHDD,記憶媒体,10000,2,20000,5,1000,19000,札幌,銀行振込
ORD00909,2024-09-16,C0075,P001,ノートPC,電子機器,120000,4,480000,0,0,480000,京都,コンビニ払い
ORD00910,2024-06-24,C0039,P007,プリンター,周辺機器,25000,1,25000,5,1250,23750,東京,代引き
ORD00911,2024-02-28,C0497,P003,キーボード,周辺機器,8000,2,16000,5,800,15200,京都,クレジットカード
ORD00912,2024-02-12,C0731,P009,タブレット,電子機器,50000,3,150000,0,0,150000,京都,銀行振込
ORD00913,2024-08-29,C0859,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,東京,クレジットカード
ORD00914,2024-03-31,C0760,P005,USBメモリ,記憶媒体,2000,1,2000,10,200,1800,広島,銀行振込
ORD00915,2024-02-09,C0158,P001,ノートPC,電子機器,120000,3,360000,0,0,360000,京都,代引き
ORD00916,2024-04-01,C0915,P004,マウス,周辺機器,3000,3,9000,0,0,9000,福岡,コンビニ払い
ORD00917,2024-12-22,C0657,P001,ノートPC,電子機器,120000,3,360000,20,72000,288000,大阪,コンビニ払い
ORD00918,2024-12-19,C0613,P005,USBメモリ,記憶媒体,2000,2,4000,0,0,4000,東京,クレジットカード
ORD00919,2024-07-12,C0931,P004,マウス,周辺機器,3000,1,3000,10,300,2700,福岡,銀行振込
ORD00920,2024-02-16,C0015,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,仙台,銀行振込
ORD00921,2024-12-14,C0817,P002,モニター,電子機器,35000,1,35000,0,0,35000,名古屋,銀行振込
ORD00922,2024-01-23,C0836,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,仙台,代引き
ORD00923,2024-10-14,C0957,P004,マウス,周辺機器,3000,3,9000,0,0,9000,広島,コンビニ払い
ORD00924,2024-03-02,C0366,P004,マウス,周辺機器,3000,1,3000,0,0,3000,仙台,銀行振込
ORD00925,2024-01-08,C0013,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,広島,銀行振込
ORD00926,2024-08-22,C0666,P004,マウス,周辺機器,3000,1,3000,0,0,3000,仙台,クレジットカード
ORD00927,2024-02-04,C0786,P004,マウス,周辺機器,3000,2,6000,0,0,6000,京都,クレジットカード
ORD00928,2024-12-30,C0258,P009,タブレット,電子機器,50000,3,150000,5,7500,142500,大阪,代引き
ORD00929,2024-11-19,C0341,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,名古屋,代引き
ORD00930,2024-12-07,C0019,P008,スキャナー,周辺機器,20000,1,20000,10,2000,18000,京都,コンビニ払い
ORD00931,2024-09-18,C0722,P004,マウス,周辺機器,3000,3,9000,10,900,8100,東京,銀行振込
ORD00932,2024-01-11,C0243,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,広島,銀行振込
ORD00933,2024-11-13,C0384,P002,モニター,電子機器,35000,1,35000,0,0,35000,京都,代引き
ORD00934,2024-04-13,C0658,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,東京,銀行振込
ORD00935,2024-11-02,C0138,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,札幌,代引き
ORD00936,2024-11-25,C0664,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,札幌,クレジットカード
ORD00937,2024-04-27,C0211,P006,外付けHDD,記憶媒体,10000,2,20000,0,0,20000,東京,銀行振込
ORD00938,2024-12-17,C0534,P004,マウス,周辺機器,3000,3,9000,15,1350,7650,仙台,銀行振込
ORD00939,2024-08-14,C0072,P001,ノートPC,電子機器,120000,1,120000,5,6000,114000,福岡,クレジットカード
ORD00940,2024-11-20,C0094,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,名古屋,銀行振込
ORD00941,2024-04-30,C0743,P009,タブレット,電子機器,50000,1,50000,5,2500,47500,京都,代引き
ORD00942,2024-03-25,C0181,P004,マウス,周辺機器,3000,1,3000,5,150,2850,福岡,代引き
ORD00943,2024-05-26,C0279,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,京都,クレジットカード
ORD00944,2024-07-03,C0483,P007,プリンター,周辺機器,25000,2,50000,5,2500,47500,京都,コンビニ払い
ORD00945,2024-09-15,C0840,P010,スマートフォン,電子機器,80000,4,320000,0,0,320000,京都,クレジットカード
ORD00946,2024-07-14,C0610,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,名古屋,銀行振込
ORD00947,2024-05-11,C0465,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,札幌,コンビニ払い
ORD00948,2024-10-14,C0342,P010,スマートフォン,電子機器,80000,4,320000,0,0,320000,名古屋,コンビニ払い
ORD00949,2024-04-10,C0014,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,仙台,コンビニ払い
ORD00950,2024-07-26,C0394,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,京都,代引き
ORD00951,2024-11-24,C0907,P010,スマートフォン,電子機器,80000,1,80000,5,4000,76000,東京,クレジットカード
ORD00952,2024-07-16,C0782,P010,スマートフォン,電子機器,80000,1,80000,5,4000,76000,広島,代引き
ORD00953,2024-06-27,C0651,P009,タブレット,電子機器,50000,3,150000,5,7500,142500,仙台,クレジットカード
ORD00954,2024-11-29,C0249,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,京都,クレジットカード
ORD00955,2024-07-04,C0268,P001,ノートPC,電子機器,120000,3,360000,5,18000,342000,京都,銀行振込
ORD00956,2024-05-10,C0975,P004,マウス,周辺機器,3000,3,9000,10,900,8100,名古屋,クレジットカード
ORD00957,2024-02-29,C0408,P002,モニター,電子機器,35000,3,105000,5,5250,99750,大阪,銀行振込
ORD00958,2024-08-04,C0709,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,札幌,コンビニ払い
ORD00959,2024-10-27,C0771,P005,USBメモリ,記憶媒体,2000,3,6000,5,300,5700,大阪,クレジットカード
ORD00960,2024-11-21,C0276,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,福岡,コンビニ払い
ORD00961,2024-12-23,C0836,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,京都,クレジットカード
ORD00962,2024-02-19,C0538,P002,モニター,電子機器,35000,3,105000,5,5250,99750,広島,代引き
ORD00963,2024-08-08,C0191,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,名古屋,銀行振込
ORD00964,2024-09-06,C0462,P003,キーボード,周辺機器,8000,3,24000,0,0,24000,福岡,銀行振込
ORD00965,2024-04-12,C0266,P001,ノートPC,電子機器,120000,2,240000,0,0,240000,広島,コンビニ払い
ORD00966,2024-11-16,C0082,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,札幌,クレジットカード
ORD00967,2024-07-12,C0351,P002,モニター,電子機器,35000,2,70000,0,0,70000,東京,銀行振込
ORD00968,2024-09-01,C0010,P008,スキャナー,周辺機器,20000,3,60000,0,0,60000,東京,代引き
ORD00969,2024-01-04,C0217,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,東京,コンビニ払い
ORD00970,2024-11-04,C0485,P009,タブレット,電子機器,50000,2,100000,5,5000,95000,仙台,コンビニ払い
ORD00971,2024-06-21,C0323,P006,外付けHDD,記憶媒体,10000,3,30000,0,0,30000,福岡,代引き
ORD00972,2024-12-06,C0059,P007,プリンター,周辺機器,25000,2,50000,20,10000,40000,仙台,代引き
ORD00973,2024-02-21,C0743,P001,ノートPC,電子機器,120000,2,240000,5,12000,228000,名古屋,クレジットカード
ORD00974,2024-11-04,C0974,P002,モニター,電子機器,35000,3,105000,0,0,105000,福岡,代引き
ORD00975,2024-08-19,C0528,P010,スマートフォン,電子機器,80000,3,240000,5,12000,228000,広島,銀行振込
ORD00976,2024-01-02,C0895,P006,外付けHDD,記憶媒体,10000,1,10000,0,0,10000,東京,代引き
ORD00977,2024-12-13,C0497,P008,スキャナー,周辺機器,20000,1,20000,20,4000,16000,広島,クレジットカード
ORD00978,2024-06-27,C0752,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,広島,代引き
ORD00979,2024-11-06,C0891,P004,マウス,周辺機器,3000,3,9000,0,0,9000,東京,銀行振込
ORD00980,2024-09-11,C0896,P002,モニター,電子機器,35000,3,105000,10,10500,94500,京都,銀行振込
ORD00981,2024-08-16,C0247,P002,モニター,電子機器,35000,2,70000,10,7000,63000,福岡,銀行振込
ORD00982,2024-03-28,C0733,P002,モニター,電子機器,35000,1,35000,5,1750,33250,東京,銀行振込
ORD00983,2024-06-16,C0737,P007,プリンター,周辺機器,25000,2,50000,0,0,50000,札幌,コンビニ払い
ORD00984,2024-12-09,C0945,P002,モニター,電子機器,35000,3,105000,5,5250,99750,京都,クレジットカード
ORD00985,2024-12-20,C0785,P006,外付けHDD,記憶媒体,10000,1,10000,20,2000,8000,大阪,代引き
ORD00986,2024-07-12,C0990,P007,プリンター,周辺機器,25000,3,75000,20,15000,60000,広島,銀行振込
ORD00987,2024-04-24,C0090,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,大阪,クレジットカード
ORD00988,2024-06-23,C0587,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,仙台,銀行振込
ORD00989,2024-06-09,C0319,P007,プリンター,周辺機器,25000,3,75000,0,0,75000,東京,銀行振込
ORD00990,2024-07-17,C0817,P007,プリンター,周辺機器,25000,2,50000,10,5000,45000,名古屋,銀行振込
ORD00991,2024-02-24,C0873,P007,プリンター,周辺機器,25000,1,25000,10,2500,22500,京都,代引き
ORD00992,2024-03-15,C0697,P005,USBメモリ,記憶媒体,2000,1,2000,5,100,1900,京都,銀行振込
ORD00993,2024-11-03,C0614,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,仙台,代引き
ORD00994,2024-09-14,C0490,P002,モニター,電子機器,35000,3,105000,10,10500,94500,福岡,コンビニ払い
ORD00995,2024-05-29,C0157,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,福岡,銀行振込
ORD00996,2024-12-24,C0745,P001,ノートPC,電子機器,120000,1,120000,15,18000,102000,広島,代引き
ORD00997,2024-12-03,C0402,P003,キーボード,周辺機器,8000,1,8000,20,1600,6400,仙台,コンビニ払い
ORD00998,2024-12-13,C0401,P008,スキャナー,周辺機器,20000,2,40000,15,6000,34000,大阪,代引き
ORD00999,2024-05-24,C0404,P004,マウス,周辺機器,3000,3,9000,10,900,8100,大阪,銀行振込
ORD01000,2024-06-14,C0469,P010,スマートフォン,電子機器,80000,1,80000,0,0,80000,名古屋,銀行振込
ORD01001,2024-08-14,C0215,P008,スキャナー,周辺機器,20000,2,40000,0,0,40000,福岡,銀行振込
ORD01002,2024-11-29,C0105,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,名古屋,コンビニ払い
ORD01003,2024-08-06,C0365,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,京都,銀行振込
ORD01004,2024-01-27,C0608,P002,モニター,電子機器,35000,3,105000,0,0,105000,広島,銀行振込
ORD01005,2024-11-17,C0122,P007,プリンター,周辺機器,25000,1,25000,0,0,25000,福岡,コンビニ払い
ORD01006,2024-09-07,C0978,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,名古屋,コンビニ払い
ORD01007,2024-12-20,C0282,P002,モニター,電子機器,35000,2,70000,15,10500,59500,京都,代引き
ORD01008,2024-01-06,C0125,P002,モニター,電子機器,35000,1,35000,0,0,35000,京都,銀行振込
ORD01009,2024-01-12,C0492,P010,スマートフォン,電子機器,80000,3,240000,10,24000,216000,札幌,クレジットカード
ORD01010,2024-10-30,C0661,P003,キーボード,周辺機器,8000,2,16000,5,800,15200,広島,代引き
ORD01011,2024-10-19,C0066,P003,キーボード,周辺機器,8000,1,8000,0,0,8000,名古屋,コンビニ払い
ORD01012,2024-12-24,C0838,P001,ノートPC,電子機器,120000,2,240000,20,48000,192000,京都,クレジットカード
ORD01013,2024-09-22,C0772,P010,スマートフォン,電子機器,80000,5,400000,0,0,400000,福岡,クレジットカード
ORD01014,2024-04-02,C0569,P010,スマートフォン,電子機器,80000,2,160000,0,0,160000,京都,代引き
ORD01015,2024-03-03,C0212,P001,ノートPC,電子機器,120000,2,240000,10,24000,216000,名古屋,クレジットカード
ORD01016,2024-10-14,C0128,P005,USBメモリ,記憶媒体,2000,1,2000,0,0,2000,札幌,代引き
ORD01017,2024-10-05,C0255,P003,キーボード,周辺機器,8000,2,16000,0,0,16000,札幌,クレジットカード
ORD01018,2024-09-22,C0456,P005,USBメモリ,記憶媒体,2000,3,6000,10,600,5400,名古屋,コンビニ払い
ORD01019,2024-12-21,C0621,P006,外付けHDD,記憶媒体,10000,3,30000,10,3000,27000,福岡,クレジットカード
ORD01020,2024-12-05,C0193,P001,ノートPC,電子機器,120000,1,120000,0,0,120000,名古屋,代引き
ORD01021,2024-04-20,C0222,P003,キーボード,周辺機器,8000,3,24000,10,2400,21600,仙台,代引き
ORD01022,2024-03-06,C0564,P010,スマートフォン,電子機器,80000,4,320000,0,0,320000,札幌,代引き
ORD01023,2024-07-14,C0086,P003,キーボード,周辺機器,8000,2,16000,15,2400,13600,札幌,コンビニ払い
ORD01024,2024-12-21,C0073,P003,キーボード,周辺機器,8000,3,24000,5,1200,22800,札幌,銀行振込
ORD01025,2024-07-09,C0620,P010,スマートフォン,電子機器,80000,3,240000,20,48000,192000,名古屋,コンビニ払い
